rank,channel_id,channel_name_title,language_code,view_count_4wk,pct_total_4wk_views,original_canonical_slugs,original_display_families,original_display_leaves,revised_primary_canonical_slug,revised_primary_family,revised_primary_leaf,revised_primary_path,primary_tag_level,decision_type,non_primary_canonical_slugs,non_primary_display_paths_to_retain_as_metadata,suppressed_child_paths_because_family_is_better,needs_manual_review,manual_review_priority,decision_note
67,UCAQOf_uPOJ6rXO_k9RwfK3A,MiniMoochi,en-GB,1384754463,0.062114914832216594,film; entertainment,Entertainment,Movies,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,film,Entertainment > Movies,Entertainment > Movies,True,medium,Film/Movies is too narrow; broad Entertainment is the better primary tag.
68,UCIF4N7U8vUgyCHTcFGhaXaw,Romantic Song No1,hi,1371940122,0.061540111340974125,film; music; music_of_asia; entertainment; lifestyle,Entertainment; Lifestyle; Music,Movies; Music of Asia; [Lifestyle] - unspecified,music_of_asia,Music,Music of Asia,Music > Music of Asia,child,child_tag_preferred,film; music; entertainment; lifestyle,Entertainment > Movies; Music > [Music] - unspecified; Entertainment > [Entertainment] - unspecified; Lifestyle > [Lifestyle] - unspecified,,False,low,Music of Asia is the best available specific music tag; Film retained secondary.
69,UCLhhqmJ_GODYKio5oHF0kJw,Aletha Abew,id,1355824516,0.06081722542805141,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Entertainment is the better top-level fit among broad parent tags.
70,UC4WkXgiK6VxAri_R_qmIFvQ,Samayra Narula Official,en,1344429082,0.0603060688069327,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Lifestyle is the better broad family fit among parent tags.
71,UCQPTbtadNWcPYuoS3JqkpYw,Baccha Mat Bolna,en,1344255089,0.06029826413060547,film; entertainment; lifestyle,Entertainment; Lifestyle,Movies; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,film; lifestyle,Entertainment > Movies; Lifestyle > [Lifestyle] - unspecified,Entertainment > Movies,True,medium,Film/Movies is too narrow; broad Entertainment is the better primary tag.
72,UCz8gf4PK1Qth50lLHdvTCcA,유백합 kkubi99,ko,1324712804,0.059421670192231636,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Lifestyle is the better broad family fit among parent tags.
73,UCsxTroBbP_3WocG8Q__gYbQ,Lily Meow,en,1318012264,0.059121108986219584,entertainment,Entertainment,[Entertainment] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,already_single_family,,,,False,low,Only broad Entertainment tag is available.
74,UCZIkqX-Q7WXuUMjsCmgjcMA,Batviss Boy,id,1284609249,0.05762277445305675,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Entertainment is the better top-level fit among broad parent tags.
75,UCgaJKC6NVQfGJKoLef26DWg,ПРЕМИЯ ДАРВИНА,be,1274367490,0.057163367384861524,entertainment,Entertainment,[Entertainment] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,already_single_family,,,,False,low,Only broad Entertainment tag is available.
76,UC7IkbzHME3tLLBwT4YO6LVg,Indian Mirza,en-IN,1263510623,0.056676368868468434,music_of_asia; music; entertainment; film,Entertainment; Music,Movies; Music of Asia,music_of_asia,Music,Music of Asia,Music > Music of Asia,child,child_tag_preferred,music; entertainment; film,Music > [Music] - unspecified; Entertainment > [Entertainment] - unspecified; Entertainment > Movies,,False,low,Music of Asia is the best available specific music tag; Film retained secondary.
77,UCDwhsmzFDLc5hOB6SUglAjg,Neetu Bisht,en,1261913801,0.05660474139574138,lifestyle; entertainment; film,Entertainment; Lifestyle,Movies; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,family_preferred_over_child,entertainment; film,Entertainment > [Entertainment] - unspecified; Entertainment > Movies,Entertainment > Movies,True,medium,Lifestyle is better overall than Film/Movies for primary placement.
78,UCv3rFzn-GHGtqzXiaq3sWNg,ABP ANANDA,bn,1223195803,0.05486799657021202,society; politics,Society,Politics,politics,Society,Politics,Society > Politics,child,child_tag_preferred,society,Society > [Society] - unspecified,,False,low,Politics is the available specific Society tag.
79,UCGxETujQezardjPV7Y8jDyg,Dhruvit Vlogs,en-US,1215164077,0.054507723330604704,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Lifestyle is the better broad family fit among parent tags.
80,UC7oREYnNJb5PgBhYGRtf8eA,Familia Ibañez,es,1212862918,0.05440450192990185,humor; lifestyle; entertainment,Entertainment; Lifestyle,Humor; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,family_preferred_over_child,humor; entertainment,Entertainment > Humor; Entertainment > [Entertainment] - unspecified,Entertainment > Humor,True,medium,Lifestyle/family placement is better overall than Humor.
81,UCglXlpWjIi95auM3umWWLdw,Tech Master Shorts,en,1210831533,0.05431338158356038,lifestyle; entertainment; technology,Entertainment; Lifestyle,Technology; [Entertainment] - unspecified,technology,Lifestyle,Technology,Lifestyle > Technology,child,child_tag_preferred,lifestyle; entertainment,Lifestyle > [Lifestyle] - unspecified; Entertainment > [Entertainment] - unspecified,,False,low,Technology is the best available specific tag under the current hierarchy.
82,UCKL7dzkd9HXZXxdZb39RKtQ,NehirTV66,tr,1206548210,0.05412124770679535,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Entertainment is the better top-level fit among broad parent tags.
83,UCP-r32FFZMHKUAWvFYk5msA,The BN Brothers,en,1202554341,0.053942097655710786,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Entertainment is the better top-level fit among broad parent tags.
84,UCEDkNgpdtJ4LBt6uWDRM_og,Aditya reacting boy,en-IN,1196347541,0.05366368378257882,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Entertainment is the better top-level fit among broad parent tags.
85,UCG7mbubDyYnI7Ox4UPLSIIg,Krishna Kakran,en,1190928678,0.05342061382127807,entertainment; film,Entertainment,Movies,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,film,Entertainment > Movies,Entertainment > Movies,True,medium,Film/Movies is too narrow; broad Entertainment is the better primary tag.
86,UCppHT7SZKKvar4Oc9J4oljQ,Zee TV,eng,1181159487,0.05298240438909468,film; tv_shows; entertainment,Entertainment,Movies; TV shows,tv_shows,Entertainment,TV shows,Entertainment > TV shows,child,child_tag_preferred,film; entertainment,Entertainment > Movies; Entertainment > [Entertainment] - unspecified,,False,low,TV shows is the better child tag than Film/Movies.
87,UC4ZnWHTj1PDWAMWqm-pcouA,Superstar lalli dada,en,1171754949,0.05256055192895471,entertainment; lifestyle,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Entertainment is the better top-level fit among broad parent tags.
88,UCWuBZJIucBpe-SCWUBuKUlg,Tera Trigun,en,1168691855,0.05242315296905472,entertainment; film,Entertainment,Movies,film,Entertainment,Movies,Entertainment > Movies,child,child_tag_preferred,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Film/Movies is the best available specific tag.
89,UCrq11szgal4N031rzisp1rA,Abhijeet Singhania,en,1167683875,0.052377938749837157,humor; entertainment; film,Entertainment,Humor; Movies,humor,Entertainment,Humor,Entertainment > Humor,child,child_tag_preferred,entertainment; film,Entertainment > [Entertainment] - unspecified; Entertainment > Movies,,False,low,Humor is the best available specific entertainment tag.
90,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,eng,1163475671,0.052189174430933793,music; entertainment; film,Entertainment; Music,Movies; [Music] - unspecified,music,Music,[Music] - unspecified,Music > [Music] - unspecified,family,family_preferred_over_child,entertainment; film,Entertainment > [Entertainment] - unspecified; Entertainment > Movies,Entertainment > Movies,True,medium,Broad Music is a better available tag than Film/Movies for primary placement.
91,UCnBatb58GQ-2TE1bz3coaIw,Amaira gurjar,en,1158664468,0.05197336182836014,lifestyle; entertainment; film,Entertainment; Lifestyle,Movies; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,family_preferred_over_child,entertainment; film,Entertainment > [Entertainment] - unspecified; Entertainment > Movies,Entertainment > Movies,True,medium,Lifestyle is better overall than Film/Movies for primary placement.
92,UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB,eng,1149218031,0.05154962993552211,humor; film; entertainment; tv_shows,Entertainment,Humor; Movies; TV shows,tv_shows,Entertainment,TV shows,Entertainment > TV shows,child,child_tag_preferred,humor; film; entertainment,Entertainment > Humor; Entertainment > Movies; Entertainment > [Entertainment] - unspecified,,False,low,TV shows is the best overall child tag; Humor retained secondary.
93,UC9CYT9gSNLevX5ey2_6CK0Q,NDTV India,hindi_related_north_indic_review_cluster,1142372127,0.05124254824322824,politics; society; tv_shows; entertainment,Entertainment; Society,Politics; TV shows,politics,Society,Politics,Society > Politics,child,child_tag_preferred,society; tv_shows; entertainment,Society > [Society] - unspecified; Entertainment > TV shows; Entertainment > [Entertainment] - unspecified,,False,low,Politics is the best available Society child tag; TV shows retained secondary.
94,UCY5eVNga3ip9r9vrqpyvDHg,PoonamSikarwar,en,1135208966,0.05092123558648438,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Lifestyle is the better broad family fit among parent tags.
95,UCAL4GQSXBlHCN1Po7L38-rw,Jagdish Comedian,en,1101267678,0.04939875613633818,lifestyle; entertainment; film,Entertainment; Lifestyle,Movies; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,lifestyle; film,Lifestyle > [Lifestyle] - unspecified; Entertainment > Movies,Entertainment > Movies,True,medium,Film/Movies is too narrow; broad Entertainment is the better primary tag.
96,UCfXBwgh3SdioYHLu3khbHJQ,Laughingggodha,en,1099066878,0.049300036465656207,humor; film; entertainment,Entertainment,Humor; Movies,humor,Entertainment,Humor,Entertainment > Humor,child,child_tag_preferred,film; entertainment,Entertainment > Movies; Entertainment > [Entertainment] - unspecified,,False,low,Humor is the best available specific entertainment tag.
97,UCW-V3lJDUSz_AccP6rPRUtA,Sejal Gaba,en,1097774814,0.04924207929890774,entertainment; film,Entertainment,Movies,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,family_preferred_over_child,film,Entertainment > Movies,Entertainment > Movies,True,medium,Film/Movies is too narrow; broad Entertainment is the better primary tag.
98,UC7ZOQ3kjK0-3sdI23RFoHjg,merryclestari,id,1094710288,0.049104616104834534,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,lifestyle,Lifestyle,[Lifestyle] - unspecified,Lifestyle > [Lifestyle] - unspecified,family,parent_only_fallback,entertainment,Entertainment > [Entertainment] - unspecified,,False,low,Lifestyle is the better broad family fit among parent tags.
99,UCBW5TN_TkL480J96xvwnC8g,Factomato,en-IN,1090021000,0.04889427215395626,lifestyle; pet; entertainment,Entertainment; Lifestyle; Other / Unmapped YouTube topic,Unmapped: pet; [Entertainment] - unspecified; [Lifestyle] - unspecified,pet,Other / Unmapped YouTube topic,Unmapped: pet,Other / Unmapped YouTube topic > Unmapped: pet,unmapped_specific,unmapped_specific_tag_preferred,lifestyle; entertainment,Lifestyle > [Lifestyle] - unspecified; Entertainment > [Entertainment] - unspecified,,False,low,Pet is the most specific available YouTube tag even though it is currently unmapped.
100,UC6ABNFIGTdN41wC-PccaIKA,Andrey Grechka,en,1086912592,0.04875484057720909,lifestyle; entertainment,Entertainment; Lifestyle,[Entertainment] - unspecified; [Lifestyle] - unspecified,entertainment,Entertainment,[Entertainment] - unspecified,Entertainment > [Entertainment] - unspecified,family,parent_only_fallback,lifestyle,Lifestyle > [Lifestyle] - unspecified,,False,low,Entertainment is the better top-level fit among broad parent tags.
